"mat_sen" "msd" "msq" "msp" "msP"
"1" 202.637730740741 17.3918271648255 0.085827190727264 0.914172809272736 1
"2" 185.245903575915 16.1723354132239 0.0873019867162477 0.912698013283752 0.914172809272736
"3" 169.073568162691 15.0138930278107 0.088800947368447 0.911199052631553 0.834363706821253
"4" 154.059675134881 13.9153515962075 0.0903244251555412 0.909675574844459 0.760271419205676
"5" 140.144323538673 12.8754480553847 0.0918727760802359 0.908127223919764 0.691600340303736
"6" 127.268875483288 11.8928131103752 0.0934463596477432 0.906553640352257 0.628061097101996
"7" 115.376062372913 10.9659800167789 0.0950455388340013 0.904954461165999 0.569371073941447
"8" 104.410082356134 10.0933936654882 0.0966706800504228 0.903329319949577 0.515254893422188
"9" 94.3166886906462 9.27341990580847 0.0983221531051074 0.901677846894893 0.465444852475757
"10" 85.0432687848377 8.50435504144104 0.100000331160334 0.899999668839666 0.419681312428651
"11" 76.5389137433967 7.78443543275333 0.101705590686214 0.898294409313786 0.377713042203983
"12" 68.7544783106434 7.11184713835238 0.103438311410348 0.896561688589651 0.33929751413674
"13" 61.642631172291 6.48473552924121 0.105198876263351 0.894801123736649 0.304201152208707
"14" 55.1578956430498 5.90121480976535 0.10698767132007 0.89301232867993 0.272199532838334
"15" 49.2566808332844 5.35937738115451 0.10880508573637 0.89119491426363 0.24307753868555
"16" 43.8973034521299 NA NA NA NA
