"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 18.1439357037037 2.96475373896517 12.4397499019779 16.17 18.06 20.01 24.25 1.00112578745551 11000
"a1" 0.0587322946826296 0.0699926122733334 -0.0882225 0.0171875 0.058445 0.1033 0.1957 1.00119161730711 8100
"a2" 0.0619681552551852 0.0783811366899538 -0.1005 0.0113 0.06689 0.1157 0.2052 1.00105464457069 18000
"b1" -0.00919833857733333 0.0949737018359993 -0.1810025 -0.07556 -0.01457 0.053195 0.1861025 1.00095954953236 27000
"data.var" 19.8115322962963 9.46660224691293 8.79197499861369 13.62 17.66 23.4 43.4907497479012 1.00128991809759 5800
"deviance" 90.7375411111111 2.95566505651556 87.15 88.62 90.02 92.1 98.4002499876151 1.00115959457361 9200
