"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 19.8711258518519 3.14284819131798 13.99 17.79 19.74 21.81 26.5702499541419 1.00153987830363 3400
"a2" 0.143270568148148 0.0404165244657909 0.07793 0.1177 0.1383 0.1627 0.236104997936347 1.00193946779612 2000
"data.var" 20.2011235925926 9.67238590302047 8.84797499862247 13.81 17.95 23.93 45.1804998921297 1.00097045987185 27000
"deviance" 91.0474425925926 3.06920373267853 87.59 88.8 90.22 92.41 99.02 1.00110291604021 13000
