"mat_sen" "msd" "msq" "msp" "msP"
"1" 17.7931283703704 1.82450520730559 0.102539877717277 0.897460122282723 1
"2" 15.9686231630648 1.65481590991683 0.103629216684404 0.896370783315596 0.897460122282723
"3" 14.313807253148 1.49907707588805 0.104729444051887 0.895270555948113 0.804457032805075
"4" 12.8147301772599 1.35631941580304 0.105840653454403 0.894159346545597 0.720206694995769
"5" 11.4584107614569 1.2256252911592 0.106962938986434 0.893037061013567 0.643979547775181
"6" 10.2327854702977 1.10612722215128 0.108096395195814 0.891903604804186 0.575097602697994
"7" 9.12665824814638 0.997006342208005 0.109241117077052 0.890758882922948 0.512931624960586
"8" 8.12965190593838 0.897490807913292 0.110397200064336 0.889602799935664 0.456898401265744
"9" 7.23216109802509 0.806854172714764 0.111564740024264 0.888435259975736 0.406458097052134
"10" 6.42530692531032 0.72441373255615 0.112743833248271 0.887256166751729 0.361111705123756
"11" 5.70089319275417 0.649528851273286 0.113934576444764 0.886065423555236 0.320398587257284
"12" 5.05136434148089 0.581599273267394 0.115137066730944 0.884862933269056 0.283894109924625
"13" 4.46976506821349 0.520063430617977 0.1163514016243 0.8836485983757 0.251207374845711
"14" 3.94970163759552 0.464396751424536 0.117577679033814 0.882422320966186 0.221979044684052
"15" 3.48530488617098 0.414109975773508 0.118815997250805 0.881184002749195 0.195879263815958
"16" 3.07119491039747 NA NA NA NA
