"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 17.7931283703704 2.91712546782606 12.3 15.89 17.7 19.6 23.8202499488491 1.00121771823281 7300
"a1" 0.0530899128822222 0.0736550338604128 -0.1050025 0.01011 0.056085 0.1007 0.1930025 1.00101187703148 27000
"a3" -0.0544939174110741 0.0734300057912537 -0.192 -0.102 -0.057545 -0.0118775 0.1032 1.00097417094635 27000
"b1" -0.0113594931374815 0.0949015347271353 -0.1871 -0.076055 -0.01699 0.0514425 0.1836025 1.00138732966035 4500
"b3" 0.0109730576817778 0.0953001871705294 -0.1893 -0.05128 0.01687 0.076255 0.1881025 1.00188257778857 2100
"data.var" 19.5414336296296 9.05245131308486 8.73397499860449 13.48 17.46 23.15 42.1902499711173 1.00140019168909 4400
"deviance" 90.5626166666667 2.94064444450059 86.92 88.42 89.87 91.97 98.03 1.00178312284958 3900
