"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 202.799736666667 36.8410007496499 133 178.3 201.8 226.1 278.5 1.00114266025169 10000
"a1" 0.0425589472850741 0.0784721498818807 -0.1301025 -0.00347225 0.04845 0.09474 0.1849 1.00118501632473 8300
"a3" -0.0465146787188889 0.0775630728045169 -0.1852 -0.09835 -0.0529 -0.00132725 0.1244 1.00127249753704 6100
"b1" -0.0172357943077111 0.0979186293324972 -0.1944025 -0.08639 -0.02358 0.04676 0.188405 1.00104651810427 19000
"b3" 0.0203760236306296 0.0972603310059921 -0.1827 -0.04281 0.026145 0.08876 0.1958 1.00125025288584 6500
"data.var" 3434.92496296296 1648.83144228358 1504.97499189845 2344 3054 4066.24997694625 7612.12495999002 1.00106456847593 16000
"deviance" 173.205774074074 3.13150428968765 169.1 170.9 172.5 174.8 181 1.00113711217869 10000
