"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 206.543741481481 37.0978499342568 136.5 181.7 205.5 229.7 283.6 1.00096143760027 27000
"a1" 0.0579582310658889 0.070872882172648 -0.09953375 0.01854 0.060125 0.1027 0.1929025 1.0010504740969 19000
"a2" 0.0466408352757407 0.0841330348366533 -0.1254 -0.0103425 0.05171 0.106325 0.1987 1.00107075158722 16000
"b1" -0.0218927010603148 0.0973029819349253 -0.1939 -0.09109 -0.029595 0.0424025 0.1823025 1.00095682265514 27000
"data.var" 3432.87045555556 1463.65707657427 1544 2395 3094 4121 7336.07498505206 1.0011437569672 10000
"deviance" 173.443025925926 2.88037846897203 169.4 171.4 172.9 174.9 180.5 1.0011595079592 9200
