"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 13.2385008888889 1.93762037019331 9.501 11.97 13.21 14.45 17.1802499290871 1.00150965229542 3500
"a2" 0.228235632592593 0.0501327038756262 0.147297499172237 0.1941 0.2222 0.2562 0.33890249964045 1.00249653940853 1300
"data.var" 7.20221218518518 3.40415937036297 3.17897499616545 4.9277499809738 6.405 8.52 15.77 1.00099483852032 27000
"deviance" 74.5517881481481 2.97616299219104 71.16 72.38 73.76 75.92 82.32 1.00101853453512 26000
=======
"a" 13.2773051481481 1.94843179722065 9.512 12 13.26 14.51 17.23 1.00102372043933 25000
"a2" 0.23052194 0.0528871359722353 0.1463 0.1962 0.2255 0.2569 0.3506 1.00105554408463 18000
"data.var" 7.19094122222222 3.39994830460805 3.179 4.923 6.405 8.529 15.76 1.00098432342159 27000
"deviance" 74.587782962963 3.06162865674219 71.16 72.39 73.79 75.88 82.8202499852855 1.00110518276024 12000
>>>>>>> origin/master
