"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 217.737537037037 38.2220679716007 145 193 216.5 241.5 296.602499589184 1.00100149065855 27000
"a2" 0.13836375737037 0.0425389766308083 0.06752925 0.110175 0.1341 0.1614 0.2343025 1.00117322154875 8700
"data.var" 3574.11684444444 1492.31263431824 1620 2498 3237 4276.2499780783 7482 1.00118021467315 8400
"deviance" 174.177 2.83779824733042 170.8 172 173.5 175.6 181.5 1.0014824382087 3700
=======
"a" 217.073234444444 38.566093261744 143.5 191.7 216.1 241.224996114124 297.1 1.00134657306943 5000
"a2" 0.137168602962963 0.0429879954780914 0.06472 0.1081 0.1331 0.1601 0.235504997931092 1.00176266725399 2400
"data.var" 3589.08519259259 1496.91382477711 1631 2509 3255 4296 7571.02499839038 1.00139723703091 4400
"deviance" 174.221255555556 2.83997911389056 170.8 172.1 173.5 175.7 181.4 1.00185261861016 2200
>>>>>>> origin/master
