"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"a",204.831871592593,38.1531796136586,133,179.8,203.8,228.8,282.3,1.00123920161666,6800
"a1",0.0330465201461111,0.0840063178418312,-0.1470025,-0.0187325,0.03934,0.0890125,0.187,1.00105763942055,17000
"a2",0.0256897003884815,0.0886162311057524,-0.149105,-0.03498,0.0264,0.0865175,0.1971,1.00095723563054,27000
"a3",-0.0332599820992963,0.0835517735373646,-0.1864,-0.0887125,-0.039065,0.0179325,0.143605,1.0009614636068,27000
"b1",-0.00937878481837037,0.100376096522987,-0.1927025,-0.081,-0.01417,0.05881,0.1938025,1.00097460445179,27000
"b3",0.00855501849759259,0.100047204679904,-0.1953,-0.05873,0.012825,0.0797,0.1926,1.00105269145258,18000
"ghana.var",3460.96688518519,1645.46162686463,1512,2371,3081.49995943534,4114,7710.04999367811,1.0010165524337,27000
"deviance",173.31732962963,3.13339207753566,169.2,171.1,172.7,174.9,181.2,1.00100608609304,27000
