"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 204.303047777778 38.2380270059007 131.7 179 203.1 228.3 283.3 1.0009954563786 27000
"a1" 0.0337422348320963 0.084501982073424 -0.1463025 -0.01896 0.038865 0.0908925 0.1891025 1.00121594706716 7300
"a2" 0.0236261593092222 0.0886017408076158 -0.15 -0.0356925 0.02457 0.08435 0.1944025 1.00136781913419 4700
"a3" -0.034977805218 0.0833445544231732 -0.188 -0.0900775 -0.04051 0.0171175 0.1421025 1.00094674988032 27000
"b1" -0.00807335519481481 0.0996837424201599 -0.1917 -0.078685 -0.012245 0.060525 0.1925025 1.0009589725977 27000
"b3" 0.00877222752888889 0.100097217517762 -0.1934 -0.0589025 0.013025 0.0802625 0.1893 1.00106862799469 16000
"data.var" 3454.74571851852 1654.46891800859 1496 2368 3074 4118 7557.04999355015 1.00120145843585 7700
"deviance" 173.352574074074 3.11876962816266 169.2 171.1 172.7 174.9 181.1 1.00121674249922 8800
