"mat" "matd" "matq" "matp" "matP"
"1" 41.0962222222222 10.9068242093172 0.26539724625636 0.73460275374364 1
"2" 30.189398012905 8.22434133304193 0.272424820446114 0.727575179553886 0.73460275374364
"3" 21.9650566798631 6.14605093650233 0.279810383650721 0.720189616349279 0.534478730455808
"4" 15.8190057433608 4.54903117328493 0.287567451904754 0.712432548095246 0.384926031833818
"5" 11.2699745700759 3.3326380245828 0.295709453811161 0.704290546188839 0.274233833687559
"6" 7.93733654549305 2.41493175915971 0.30424963655232 0.69575036344768 0.19314029651127
"7" 5.52240478633334 1.7296224784806 0.313200959618356 0.686799040381644 0.134377431494109
"8" 3.79278230785274 1.22346045254532 0.322575975428967 0.677424024571033 0.0922902909991042
"9" 2.56932185530742 0.854008402635584 0.332386696073701 0.667613303926299 0.062519660357445
"10" 1.71531345267183 0.587742626801212 0.34264444547189 0.65735555452811 0.0417389570115839
"11" 1.12757082587062 0.398438084656908 0.353359696362547 0.646640303637454 0.0274373352317747
"12" 0.729132741213711 0.265799428769564 0.364541891682323 0.635458108317677 0.0177420867852774
"13" 0.463333312444147 0.174305644679521 0.376199250082052 0.623800749917948 0.0112743529061804
"14" 0.289027667764626 0.112240587021252 0.38833855557613 0.61166144442387 0.00703294979771494
"15" 0.176787080743374 0.0708854197416527 0.400964931620489 0.599035068379511 0.00430178423183089
"16" 0.105901661001721 NA NA NA NA
