<<<<<<< HEAD
"C" "M" "S" "B" "MS"
"DIC" 77.29 79.0516157317006 79.1068018097976 77.9935672700275 77.1449873746677
=======
"C" "M" "S" "B"
"DIC" 77.33 79.0017442822925 79.0059083775063 78.2808019219144
>>>>>>> origin/master
