"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 12.3236821111111 1.7117221836003 9.10194999464326 11.19 12.27 13.39 15.88 1.00147377607643 3800
"a1" 0.11400631039963 0.0602670460893824 -0.0121355 0.0779375 0.1137 0.1524 0.2316025 1.00112054104279 11000
"a2" 0.0229171598454074 0.0990684178615053 -0.1654025 -0.04567 0.02174 0.0915075 0.2187 1.00177309549939 2400
"b1" -0.117004351444074 0.1012891509531 -0.2953 -0.1862 -0.1254 -0.05713 0.1084025 1.00141924738013 4200
"data.var" 5.7212807037037 2.93092943636016 2.262 3.781 5.05149997525487 6.84549994522482 13.08 1.00134856845886 4900
"deviance" 70.6081933333333 4.12076989217677 63.4 67.65 70.46 73.17 79.35 1.00137218433422 4700
