"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 43.7463574074074 2.67032062066653 38.69 42.01 43.67 45.39 49.25 1.00264268939822 1200
"a2" 0.3500048 0.0250754321813641 0.3036 0.3333 0.349 0.3656 0.4009 1.00363740105873 790
"data.var" 2.34675407777778 1.15545483545318 1.00397498785309 1.585 2.069 2.794 5.30904999081975 1.00137940697047 4600
"deviance" 52.9310755555556 2.95093544105144 49.54 50.78 52.1849997604675 54.26 60.5202499798642 1.00177976505665 2400
=======
"a" 43.8011737037037 2.63363231301681 38.67 42.1 43.75 45.43 49.1602499752118 1.00218008440227 1600
"a2" 0.350534281481481 0.024677486806591 0.3028 0.3349 0.3499 0.3658 0.4024 1.00281742993299 1300
"data.var" 2.33190577407407 1.14891653306302 0.9998 1.571 2.061 2.778 5.26914991679229 1.00106218823093 17000
"deviance" 52.8687822222222 2.93562799181704 49.51 50.71 52.14 54.2 60.38 1.00206330795192 1800
>>>>>>> origin/master
