1001	43.09
1002	44.1
1003	46.99
1004	48.96
1005	43.5
1006	45.27
1007	45.13
1008	45.16
1009	44.19
1010	41.31
1011	39.77
1012	39.67
1013	40.17
1014	42.97
1015	42.12
1016	44.24
1017	44.43
1018	43.64
1019	42.04
1020	41.22
1021	42.43
1022	39.34
1023	40.44
1024	40.86
1025	41.64
1026	41.7
1027	42.34
1028	44.62
1029	42.87
1030	43.13
1031	41.39
1032	40.15
1033	40.63
1034	41.55
1035	41.49
1036	41.11
1037	41.15
1038	38.53
1039	39.77
1040	40.72
1041	40.37
1042	38.13
1043	37.01
1044	38.18
1045	39.2
1046	39.13
1047	39.84
1048	38.76
1049	38.68
1050	36.34
1051	36.41
1052	34.1
1053	35.67
1054	37.94
1055	37.16
1056	36.78
1057	37.94
1058	38.0
1059	38.19
1060	36.91
1061	38.16
1062	39.19
1063	39.43
1064	39.28
1065	39.72
1066	40.14
1067	39.84
1068	40.66
1069	41.12
1070	42.76
1071	40.23
1072	39.49
1073	37.52
1074	37.44
1075	39.02
1076	37.33
1077	39.4
1078	41.46
1079	43.64
1080	45.59
1081	45.46
1082	44.0
1083	43.79
1084	43.71
1085	41.76
1086	40.38
1087	37.09
1088	37.15
1089	34.71
1090	35.92
1091	34.29
1092	36.47
1093	39.69
1094	40.95
1095	38.26
1096	41.96
1097	43.09
1098	38.02
1099	37.5
1100	38.61
1101	39.32
1102	39.06
1103	39.65
1104	41.46
1105	43.74
1106	44.92
1107	44.94
1108	42.9
1109	43.91
1110	45.09
1111	41.87
1112	42.71
1113	42.73
1114	42.14
1115	42.03
1116	39.05
1117	34.95
1118	37.15
1119	35.62
1120	38.73
1121	37.54
1122	38.37
1123	40.42
1124	43.16
1125	45.34
1126	46.58
1127	43.41
1128	40.78
1129	43.03
1130	42.07
1131	39.65
1132	39.78
1133	39.24
1134	41.49
1135	39.4
1136	43.24
1137	42.58
1138	43.41
1139	41.81
1140	41.17
1141	39.39
1142	38.92
1143	39.82
1144	41.92
1145	37.29
1146	41.27
1147	43.57
1148	40.99
1149	40.61
1150	41.2
1151	38.92
1152	41.6
1153	41.21
1154	38.2
1155	40.79
1156	38.76
1157	39.9
1158	38.66
1159	39.43
1160	41.09
1161	43.79
1162	41.14
1163	39.9
1164	47.29
1165	51.1
1166	47.92
1167	45.22
1168	44.99
1169	43.46
1170	39.0
1171	41.17
1172	37.45
1173	37.45
1174	39.97
1175	38.39
1176	40.35
1177	38.63
1178	36.8
1179	37.03
1180	37.68
1181	38.07
1182	38.46
1183	36.4
1184	37.46
1185	39.41
1186	39.29
1187	38.92
1188	38.51
1189	41.76
1190	45.55
1191	38.11
1192	43.22
1193	43.88
1194	40.71
1195	41.85
1196	43.0
1197	42.73
1198	41.39
1199	40.92
1200	46.56
1201	46.41
1202	47.99
1203	42.93
1204	51.31
1205	47.28
1206	44.35
1207	40.78
1208	41.64
1209	43.13
1210	43.54
1211	43.16
1212	41.2
1213	37.94
1214	38.59
1215	39.56
1216	42.4
1217	39.93
1218	36.57
1219	35.1
1220	38.3
1221	34.62
1222	37.42
1223	40.54
1224	39.16
1225	39.97
