"mat" "matd" "matq" "matp" "matP"
"1" 205.82347962963 20.4226507157792 0.0992241057848643 0.900775894215136 1
"2" 185.40082891385 18.6189633445507 0.100425459010231 0.899574540989769 0.900775894215136
"3" 166.7818655693 16.9538685819575 0.101652949642256 0.898347050357744 0.81031506157323
"4" 149.827996987342 15.418365742844 0.102907107168673 0.897092892831327 0.727944145424765
"5" 134.409631244498 14.0039338286252 0.104188469970216 0.895811530029784 0.65303351923873
"6" 120.405697415873 12.7025103434387 0.105497585380575 0.894502414619425 0.584994956029982
"7" 107.703187072434 11.5064710400958 0.106835009741702 0.893164990258298 0.523279400709003
"8" 96.1967160323384 10.4086105436859 0.108201308454094 0.891798691545906 0.467374840836625
"9" 85.7881054886525 9.40212380323965 0.10959705602175 0.89040294397825 0.416804271519578
"10" 76.3859816854128 8.48058832433902 0.111022836091384 0.888977163908616 0.371123750423742
"11" 67.9053933610738 7.6379471380308 0.11247924148554 0.88752075851446 0.329920539110827
"12" 60.267446223043 6.86849246381629 0.113966874229195 0.886033125770805 0.292811327121141
"13" 53.3989537592267 6.16685002688401 0.115486345569429 0.884513654430571 0.259440535430243
"14" 47.2321037323427 5.52796399210711 0.117038275987732 0.882961724012268 0.229478696100828
"15" 41.7041397402356 4.94708247965497 0.118623295204483 0.881376704795517 0.202620905133274
"16" 36.7570572605806 NA NA NA NA
