"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 203.720453333333 38.33632673124 132 178.1 202.1 227.7 284.2 1.00111798737496 11000
"a1" 0.0326263266925926 0.0835083727094965 -0.1466 -0.0188425 0.038135 0.0888325 0.1871025 1.00097267979734 27000
"a2" 0.0243223795582222 0.0877457400951957 -0.1479025 -0.034935 0.024445 0.08478 0.1927 1.0011171221322 11000
"a3" -0.0340339719002593 0.0844073271627277 -0.1892025 -0.09087 -0.04032 0.0179875 0.1467025 1.00097799865871 27000
"b1" -0.00916687261140741 0.0998357784508573 -0.1922 -0.08021 -0.012795 0.0587725 0.1918 1.00101020753895 27000
"b3" 0.00926908751359259 0.100993576895632 -0.1970025 -0.0589725 0.0133 0.0824 0.1951 1.00109483526647 13000
"data.var" 3461.54113703704 1640.2028488656 1504 2367 3079 4097 7717.09997473972 1.001053401931 18000
"deviance" 173.322651851852 3.11646534396503 169.2 171.1 172.7 174.9 181.1 1.00125076218651 6500
