"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 23.4615977777778 1.66018376138159 20.17 22.39 23.46 24.54 26.73 1.00107929700592 15000
"a1" 0.12178806526963 0.0698297260795779 -0.01656 0.0753175 0.1218 0.1688 0.2585 1.00099704361392 27000
"a3" -0.122951674207556 0.0698672246007621 -0.2621025 -0.1695 -0.1222 -0.07624 0.01372 1.00103290214267 22000
"b1" -0.00321182142514815 0.0876125473846507 -0.1619025 -0.06242 -0.009281 0.050875 0.1853 1.0010025276315 27000
"b3" 0.00348402039188518 0.0868473737587281 -0.1852 -0.0488425 0.01019 0.0618475 0.160609999999999 1.00097179300608 27000
"data.var" 3.69493033703704 1.75680738739568 1.617 2.531 3.288 4.38524997862314 8.148 1.00106503420205 16000
"deviance" 63.8848137037037 3.22552615220966 59.65 61.56 63.21 65.52 71.84 1.00111024457124 12000
