"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 23.6016574074074 1.58197921498327 20.44 22.58 23.6149994706754 24.63 26.7002499543652 1.00136329891657 4800
"a3" -0.113008255286296 0.0695568186625683 -0.2544 -0.159 -0.1112 -0.06521 0.0184219999999998 1.00101629270075 27000
"a2" 0.138062690975926 0.0726119556245057 -0.009985875 0.09025 0.1406 0.1882 0.275 1.00117573900457 8600
"b3" 0.00172739200474074 0.0818550579522806 -0.1760025 -0.0477375 0.006906 0.056465 0.1523025 1.0012699945788 6100
"data.var" 3.63253288518519 1.71010615389057 1.603 2.497 3.238 4.31224997826129 7.99202499847516 1.00112267428936 11000
"deviance" 63.6407351851852 3.02124520704304 60.01 61.41 62.92 65.1 71.3802499829274 1.00116345006895 9100
