"sen" "send" "senq" "senp" "senP"
"1" 12.3096254814815 1.63834407113202 0.133094550569125 0.866905449430875 1
"2" 10.6712814103495 1.55848767727389 0.146045035956264 0.853954964043736 0.866905449430875
"3" 9.11279373307557 1.46152271541817 0.160381410819546 0.839618589180454 0.740298211898062
"4" 7.65127101765739 1.3483095841202 0.176220340517099 0.823779659482901 0.621568140246664
"5" 6.30296143353719 1.22075796019948 0.193680061836329 0.806319938163671 0.512035190917817
"6" 5.08220347333771 1.08188875032703 0.21287788967971 0.78712211032029 0.412864183478477
"7" 4.00031472301068 0.935781540560625 0.233926979589332 0.766073020410668 0.324974527375242
"8" 3.06453318245006 0.787377360483629 0.256932235223549 0.743067764776451 0.248954217742881
"9" 2.27715582196643 0.642124378204971 0.281985260740948 0.718014739259052 0.184989854109873
"10" 1.63503144376146 0.505483514633099 0.309158283506899 0.690841716493101 0.13282544186427
"11" 1.12954792912836 0.382348605894517 0.338497018173957 0.661502981826043 0.0917613562514671
"12" 0.747199323233842 0.276473101023702 0.370012515304672 0.629987484695328 0.0607004107767473
"13" 0.470726222210139 0.190019062789076 0.403672142794391 0.596327857205609 0.0382404991052162
"14" 0.280707159421064 0.123339916539238 0.439389992024489 0.560610007975511 0.0228038748898866
"15" 0.157367242881825 0.0750668793556095 0.477017185920839 0.522982814079161 0.0127840804838919
"16" 0.0823003635262159 NA NA NA NA
