"mat_sen" "msd" "msq" "msp" "msP"
"1" 12.2036731111111 1.39597363614929 0.114389628715824 0.885610371284176 1
"2" 10.8076994749618 1.31314224143638 0.121500625038523 0.878499374961477 0.885610371284176
"3" 9.49455723352544 1.22499444947162 0.129020703055657 0.870979296944343 0.77800815763255
"4" 8.26956278405382 1.13267378743869 0.136969005135655 0.863030994864345 0.677628998151762
"5" 7.13688899661513 1.03745364948923 0.145364969243779 0.854635030756221 0.584814828423845
"6" 6.09943534712591 0.940705174079175 0.154228239261925 0.845771760738075 0.499803238876706
"7" 5.15873017304673 0.843857648214954 0.163578559046164 0.836421440953836 0.422719465367345
"8" 4.31487252483178 0.748352714902692 0.173435648584281 0.826564351415719 0.35357162434179
"9" 3.56651980992908 0.655594320982766 0.183819060574853 0.816180939425147 0.292249700353074
"10" 2.91092548894632 0.56689696292915 0.194748015736519 0.805251984263481 0.238528634980889
"11" 2.34402852601717 0.48343529161992 0.206241215178957 0.793758784821043 0.192075656622021
"12" 1.86059323439725 0.406198441451058 0.218316628235321 0.781683371764679 0.152461739793999
"13" 1.45439479294619 0.335952477441183 0.230991254280166 0.769008745719834 0.119176806827282
"14" 1.11844231550501 0.273214047615641 0.244280857249466 0.755719142750534 0.0916480067371434
"15" 0.845228267889365 0.218237661410526 0.258199671853725 0.741800328146276 0.0692601530861891
"16" 0.626990606478839 NA NA NA NA
