"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 18.9805316296296 2.98768618204116 13.34 17.03 18.88 20.85 25.2102499516687 1.00129006137431 5800
"a2" 0.145105466666667 0.0423481090534422 0.0783187496108075 0.1188 0.1411 0.1663 0.2379 1.00226202146934 1500
"data.var" 20.1445365925926 9.52739456467125 8.8629749986248 13.82 17.97 23.85 44.9602499728965 1.00104983054938 19000
"deviance" 91.0437496296296 3.0652134474706 87.6 88.84 90.24 92.3424998984794 99.18 1.00324155294284 3200
=======
"a" 18.951942 2.95487152407866 13.42 16.9974994483401 18.85 20.8 25.18 1.00128598098811 5800
"a2" 0.144662016666667 0.0410910041715523 0.078989499938273 0.11787499204441 0.1403 0.1649 0.2376 1.00144549070336 4000
"data.var" 20.1067451851852 9.39112858972264 8.93397499863573 13.84 17.92 23.77 44.74 1.00104996911372 19000
"deviance" 91.02118 3.03148838964586 87.59 88.81 90.22 92.36 99.1002499877026 1.00114427865355 9900
>>>>>>> origin/master
