"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 206.107548888889 37.4062563720351 135.59749910078 181.5 205.4 229.4 283.602499570357 1.00096165991505 27000
"a1" 0.0552445639405556 0.0708081129024081 -0.102305 0.01537 0.05843 0.1008 0.1878025 1.00103700291884 21000
"a2" 0.0494443627325556 0.0839976777560281 -0.125 -0.007616 0.054185 0.1098 0.2002 1.00104430548513 20000
"b1" -0.0204278727406667 0.0982779449053616 -0.1965 -0.09044 -0.029095 0.0449725 0.1864025 1.00103072992136 23000
"data.var" 3440.22752222222 1463.1334413874 1546 2398 3113 4119.24997724285 7317 1.00094665783318 27000
"deviance" 173.494792592593 2.92351421443365 169.4 171.4 172.9 175 180.7 1.00105031414837 19000
=======
"a" 205.95133037037 36.706845216248 137.4 181.3 204.7 229.024995907156 282 1.00107199372609 16000
"a1" 0.0570174608182593 0.0707308216172406 -0.09907075 0.0173175 0.05938 0.1023 0.1909 1.00096288505997 27000
"a2" 0.0467225534678889 0.084717081456684 -0.1280025 -0.009308 0.05168 0.1072 0.1993 1.00094894696919 27000
"b1" -0.0224858674758519 0.0982627991354666 -0.1968 -0.09218 -0.02941 0.0427875 0.181605 1.00096567758836 27000
"data.var" 3403.6179962963 1432.15768136584 1526 2395 3080 4071 7187.02499830439 1.00107644673721 15000
"deviance" 173.391140740741 2.81038905407287 169.3 171.4 172.8 174.9 180.3 1.00135983716875 4800
>>>>>>> origin/master
