"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 12.1964344074074 1.64266888062268 9.109 11.11 12.15 13.22 15.63 1.00101049851093 27000
"a1" 0.058219477679337 0.0971865998484515 -0.1513 -0.00636825 0.0744 0.1286 0.2166 1.00121201487883 7400
"a3" -0.0589826590433333 0.097314666608333 -0.2172 -0.1295 -0.07547 0.00537 0.152 1.0013765584057 4600
"b1" -0.0647279112505556 0.119998019194334 -0.2798025 -0.1529 -0.0722 0.0198725 0.175705 1.0011721699679 8700
"b3" 0.0657622396366667 0.120149813916823 -0.1741 -0.0196725 0.07337 0.154 0.281005 1.00100230647276 27000
"data.var" 5.3314017037037 2.64309738038175 2.199 3.565 4.703 6.377 12.19 1.00178164761807 2400
"deviance" 69.585672962963 3.83426807146402 63.17 66.9 69.23 71.85 78.2102499844183 1.00218733550336 1600
