"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 41.4948837037037 3.22463229191845 35.27 39.36 41.4449996983954 43.6 48.05 1.00235661709763 1400
"a1" 0.10313698524937 0.0783580579739678 -0.05426225 0.05202 0.103 0.1553 0.2562 1.00169017224157 2700
"a2" 0.106147464595926 0.0847134384212826 -0.05747025 0.04804 0.1053 0.163525 0.2730025 1.00100162783445 27000
"a3" -0.101266496089148 0.0789213789045498 -0.2562 -0.1538 -0.1016 -0.04989 0.0586542499999996 1.00231197456128 1500
"b1" -0.0247617684243333 0.0898579463150108 -0.1866 -0.08619 -0.033135 0.0317325 0.1676025 1.00147207307171 3800
"b3" 0.0233864891989259 0.0908864122898153 -0.1752 -0.033065 0.03256 0.0864425 0.182205 1.00210327978138 1700
"data.var" 2.34662969259259 1.25206513941093 0.984297499876173 1.553 2.048 2.784 5.45602499776649 1.00114081868029 10000
"deviance" 52.7861959259259 3.26503627253071 48.8 50.43 52.04 54.28 61.2302499800976 1.00110598932409 12000
