"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
<<<<<<< HEAD
"a" 41.0857292592593 3.05366230939049 35.04 39.09 41.06 43.07 47.1802499741717 1.00191029368486 2100
"a1" 0.151697876352593 0.0652824393282977 0.02978875 0.106 0.1504 0.1951 0.2837 1.00119183444271 8000
"a2" 0.151867838641111 0.0796815006737153 -0.0036407 0.09826 0.15185 0.2061 0.3081 1.00100281813962 27000
"b1" -0.0602899539136756 0.0685621435020192 -0.1873025 -0.1048 -0.06381 -0.020785 0.0894307499999999 1.0016750811188 2700
"data.var" 2.33135055185185 1.18059035993532 0.988877490011332 1.56 2.057 2.768 5.31202499770595 1.00094686150948 27000
"deviance" 52.8263048148148 3.15198240397684 48.94 50.52 52.09 54.34 60.85 1.00098261348024 27000
=======
"a" 41.2089648148148 3.13487763494644 35.0497499652217 39.17 41.18 43.23 47.51 1.00204058971093 1800
"a1" 0.152893705828889 0.0660962605191277 0.02993 0.1076 0.1508 0.1964 0.2874025 1.00101849819988 26000
"a2" 0.152419178167778 0.0797313965684346 -0.004280625 0.09864 0.1518 0.2068 0.3091 1.00125136055577 6500
"b1" -0.0579307196235556 0.0696812666879435 -0.1874025 -0.1031 -0.061895 -0.0184775 0.0966905 1.00130858666142 5500
"data.var" 2.35784984074074 1.23249183466008 0.981894999503447 1.565 2.07 2.79524996646496 5.46614991978901 1.00160017943691 3000
"deviance" 52.8968888888889 3.2293924669004 48.96 50.55 52.12 54.43 61.07 1.00166667126034 2800
>>>>>>> origin/master
