"","Dar Es Salaam","Morogoro","Accra","Sao Tome","Principe"
"C",93.88,55.53,176.9,66.1,77.32
"M",94.8142971825518,57.9303471415221,177.590715905697,68.4559707022688,79.095676820243
"S",94.8065460726241,57.529092651999,177.593339197997,68.6263574737625,79.092033928157
"B",95.2914433385592,58.1159690927994,178.177688942269,68.532678942779,78.0555890749941
"MS",94.8842871525505,58.1496642222632,178.108325671597,69.1300447216724,76.9277718671941
