"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"a",12.3313142962963,1.89158181734968,8.75497499860784,11.1,12.26,13.5,16.24,1.00094932947304,27000
"a1",0.0592756803411852,0.0942954019801144,-0.1427025,-0.000905775,0.068525,0.1251,0.2232025,1.00098691145241,27000
"a2",0.0180967970324444,0.0958196484625482,-0.1681025,-0.0469,0.01711,0.0828125,0.2075025,1.0009611718442,27000
"a3",-0.0571009125144444,0.0944372677927805,-0.2212,-0.1237,-0.06679,0.00419625,0.1437,1.00111693459338,12000
"b1",-0.0505193984038889,0.117598134918005,-0.2665,-0.1357,-0.054165,0.032295,0.1817025,1.00099834518211,27000
"b3",0.0491213356196296,0.1166410826697,-0.1799,-0.03356,0.05196,0.1342,0.2662025,1.00097618637923,27000
"data.var",6.91094159259259,3.98966589119484,2.5699499810214,4.365,5.958,8.30824998871649,17.1,1.00094307325229,27000
"deviance",64.0149333333333,3.9453285376847,57.2697499787168,61.26,63.75,66.3,72.7902499832581,1.00098940727937,27000
