"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 206.337917037037 37.0399821101913 136.7 181.9 205.4 230 282.9 1.00140723401583 4300
"a3" -0.0570986481925926 0.0705652301333797 -0.1895 -0.1025 -0.05906 -0.0165075 0.0993119999999998 1.00100544095276 27000
"a2" 0.0473391726272222 0.0839874281794295 -0.1232 -0.009874 0.051585 0.1077 0.1987 1.00094338899752 27000
"b3" 0.0221467077966667 0.0984399902056235 -0.1849025 -0.042505 0.028915 0.09147 0.1993 1.00127559133705 6000
"data.var" 3441.59925925926 1457.50876465091 1514.97499195195 2392.74996081368 3117 4141.24997736373 7270.04999329557 1.00127131313951 6100
"deviance" 173.470218518519 2.86044405288125 169.4 171.4 172.9 175 180.5 1.00146836654505 3800
