"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 23.6217896296296 1.60084272508699 20.44 22.58 23.61 24.65 26.79 1.00112220602124 11000
"a1" 0.113475315164704 0.0693578859197947 -0.01628525 0.06627 0.1111 0.159 0.2538 1.00121057435042 7500
"a2" 0.138207863209926 0.0722362466517769 -0.0098215 0.09062 0.1411 0.188 0.2724025 1.00128280197224 5900
"b1" -0.00135219463662963 0.0822633809339454 -0.1552025 -0.05557 -0.005975 0.04948 0.1716 1.00100610503315 27000
"data.var" 3.64955476666667 1.75705764908047 1.60997499242703 2.504 3.24749996150885 4.30424997822089 8.062 1.0009577086576 27000
"deviance" 63.6881277777778 3.08808231102834 59.99 61.43 62.93 65.17 71.52 1.00108224394836 14000
