"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 218.186511851852 38.4380424594998 145.797499163717 192.9 217 242.1 298.6 1.00122548096538 7100
"a2" 0.1385465834 0.0437851482832736 0.06816425 0.1102 0.1333 0.1602 0.2345025 1.00238154308474 7100
"data.var" 3583.41935185185 1510.40393000816 1617.97499246449 2507 3240 4289.24997814473 7608.04999359337 1.00095698906159 27000
"deviance" 174.1761 2.89179945154024 170.8 172 173.4 175.6 181.5 1.00106203352896 17000
