"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"a" 18.0033942592593 3.04471391609288 12.18 15.98 17.89 19.93 24.2702499497973 1.00095157211423 27000
"a1" 0.0388535019987778 0.0799170204658401 -0.126005 -0.0110525 0.042605 0.09137 0.1912 1.00103784455387 21000
"a2" 0.0367322182411111 0.085476912023637 -0.1344 -0.02076 0.03882 0.09525 0.1979 1.00105515627605 18000
"a3" -0.0382202237091111 0.0796777234547056 -0.1898025 -0.0909025 -0.040835 0.0111175 0.1254025 1.00123652368965 6800
"b1" 0.000984487639666667 0.0943256949395068 -0.1733 -0.0660725 -0.002238 0.064605 0.1931 1.00094803893569 27000
"b3" -0.00146711716281482 0.0954564470564276 -0.196505 -0.0661525 0.002241 0.0645025 0.1761 1.00126198769825 6300
"data.var" 19.8039737037037 9.33500564933433 8.730974998604 13.59 17.7 23.4 43.6014989946033 1.00114901172414 9700
"deviance" 90.7571496296296 2.97266001807758 87.07 88.59 90.06 92.17 98.2 1.00123679394767 6800
