"","life_ex","up95","lo95"
"Dar Es Salaam",6.40574196053683,10.2229106199894,2.58857330108421
"Morogoro",2.32424066027771,6.14140931973032,-1.4929279991749
"Accra",6.70536570549832,10.5225343649509,2.88819704604571
"Sao Tome",3.25903590594318,7.07620456539579,-0.558132753509434
"Principe",3.86527817448442,7.68244683393703,0.0481095150318089
